"ElevationCount","Product","Description","Publisher","FileName","FileInternalName","FileVersion","FilePath","FileHash","Users","Devices","ElevationType","ChildProcessBehaviour","Group"
"2","<Null>","<Null>","<Null>","code-tunnel.exe","<Null>","0.0.0.0","c:\\Users\\NickBenton\\AppData\\Local\\Programs\\Microsoft VS Code\\bin","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"2","Microsoft® Windows® Operating System","WMI Commandline Utility","Microsoft Corporation","wmic.exe","wmic.exe","10.0.26100.1150","C:\\Windows\\System32\\Wbem","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"2","","Acrobat Collaboration Synchronizer 23.8","Adobe Systems Incorporated","AdobeCollabSync.exe","","23.8.20533.0","C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"2","vsce-sign","vsce-sign","Microsoft Corporation","vsce-sign.exe","vsce-sign.dll","2.0.2.0","c:\\Users\\NickBenton\\AppData\\Local\\Programs\\Microsoft VS Code\\resources\\app\\node_modules\\@vscode\\vsce-sign\\bin","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"2","CRLogTransport Application","CRLogTransport Application","Adobe Inc.","CRLogTransport.exe","CRLogTransport","14.0.0.0","C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"2","<Null>","<Null>","<Null>","lemminx-win32.exe","<Null>","0.0.0.0","c:\\Users\\NickBenton\\.vscode\\extensions\\redhat.vscode-xml-0.27.1-win32-x64\\server","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Microsoft® Windows® Operating System","Modern Setup Host","Microsoft Corporation","SetupHost.exe","SetupHost.exe","10.0.26100.1721","C:\\$WINDOWS.~BT\\Sources","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Visual Studio Code","Setup/Uninstall","Microsoft Corporation","VSCodeUserSetup-x64-1.94.0.tmp","","51.1052.0.0","C:\\Users\\NICKBE~1\\AppData\\Local\\Temp\\is-TV22A.tmp","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Adobe Acrobat","Adobe Acrobat","Adobe Systems Incorporated","Acrobat.exe","","23.8.20533.0","C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","SetupDiag","SetupDiag","Microsoft Corporation","SetupDiag.exe","SetupDiag.exe","1.7.0.0","C:\\$WINDOWS.~BT\\Sources","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
